epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.347,0.77867,2.39968,1.11174,0.49828,0.35763,0.33847,0.27036,0.65021,2.20104,1.04829,0.00331989,0.00331989,0.00331989
2,167.211,0.76753,1.69655,1.04814,0.69279,0.55987,0.55983,0.43702,0.66433,1.65811,1.00049,0.00664005,0.00664005,0.00664005
3,259.471,0.80216,1.45889,1.06163,0.71974,0.5287,0.57215,0.42035,0.77792,1.3335,1.14146,0.00994701,0.00994701,0.00994701
4,350.938,0.80242,1.25995,1.06715,0.7142,0.58451,0.60602,0.44963,0.87637,1.05093,1.05319,0.0099406,0.0099406,0.0099406
5,443.066,0.74858,1.05198,1.05133,0.58842,0.53331,0.46192,0.34505,0.8688,1.56522,1.093,0.0099208,0.0099208,0.0099208
6,534.81,0.70219,0.95049,1.03409,0.81403,0.62837,0.67273,0.51265,0.70114,0.87274,1.09654,0.009901,0.009901,0.009901
7,626.56,0.69402,0.89443,1.02825,0.90407,0.67152,0.72714,0.57816,0.69786,0.74747,0.96162,0.0098812,0.0098812,0.0098812
8,718.317,0.65893,0.82673,1.00977,0.89,0.68478,0.74885,0.60399,0.65354,0.66066,0.97164,0.0098614,0.0098614,0.0098614
9,810.033,0.63845,0.77019,1.00488,0.90738,0.73626,0.76082,0.62013,0.5938,0.59211,0.96539,0.0098416,0.0098416,0.0098416
10,901.61,0.63661,0.74693,1.00128,0.87782,0.70841,0.73829,0.61502,0.59484,0.59511,0.99262,0.0098218,0.0098218,0.0098218
11,993.562,0.62035,0.73373,1.00136,0.92526,0.67629,0.74275,0.62727,0.53126,0.64954,0.93732,0.009802,0.009802,0.009802
12,1085.01,0.59996,0.71787,0.99429,0.82688,0.59707,0.65283,0.4818,0.8321,1.01552,1.04473,0.0097822,0.0097822,0.0097822
13,1176.84,0.58245,0.68749,0.97911,0.93913,0.7419,0.79038,0.68576,0.50499,0.47449,0.89199,0.0097624,0.0097624,0.0097624
14,1268.82,0.58501,0.65426,0.98331,0.94331,0.75717,0.77968,0.63488,0.62043,0.4833,0.94347,0.0097426,0.0097426,0.0097426
15,1360.52,0.56721,0.63979,0.97808,0.89447,0.68586,0.74314,0.59865,0.60709,0.62549,1.0978,0.0097228,0.0097228,0.0097228
16,1452.28,0.57272,0.62498,0.97743,0.80306,0.67119,0.69044,0.56221,0.59923,0.86382,0.99469,0.009703,0.009703,0.009703
